dataset,method,bin,f1,n,best_c
aef,adaptive_nc_gem,overall,0.6666573331235528,16640,10.0
aef,adaptive_nc_gem,"tiny
(<50)",0.4948910531046589,2437,10.0
aef,adaptive_nc_gem,"small
(50-150)",0.618770808055399,6214,10.0
aef,adaptive_nc_gem,"medium
(150-500)",0.7053624876191547,5956,10.0
aef,adaptive_nc_gem,"large
(>500)",0.7363711620387823,2033,10.0
aef,bovw_128,overall,0.4306171430983679,16640,1.0
aef,bovw_128,"tiny
(<50)",0.30964202591927226,2437,1.0
aef,bovw_128,"small
(50-150)",0.37636102210558064,6214,1.0
aef,bovw_128,"medium
(150-500)",0.4641932941034957,5956,1.0
aef,bovw_128,"large
(>500)",0.45795891786931087,2033,1.0
aef,center_weighted_mean,overall,0.6516224484616142,16640,10.0
aef,center_weighted_mean,"tiny
(<50)",0.4876113546032996,2437,10.0
aef,center_weighted_mean,"small
(50-150)",0.6049979111645276,6214,10.0
aef,center_weighted_mean,"medium
(150-500)",0.6918289993996573,5956,10.0
aef,center_weighted_mean,"large
(>500)",0.6936697980090271,2033,10.0
aef,flattened_cov,overall,0.5930165403138821,16640,1.0
aef,flattened_cov,"tiny
(<50)",0.3775651410226198,2437,1.0
aef,flattened_cov,"small
(50-150)",0.5144896281522754,6214,1.0
aef,flattened_cov,"medium
(150-500)",0.651455876885519,5956,1.0
aef,flattened_cov,"large
(>500)",0.7031373730736749,2033,1.0
aef,gem,overall,0.627776597488022,16640,100.0
aef,gem,"tiny
(<50)",0.48070111785923636,2437,100.0
aef,gem,"small
(50-150)",0.5778269813368248,6214,100.0
aef,gem,"medium
(150-500)",0.6645043830708406,5956,100.0
aef,gem,"large
(>500)",0.6808379756594568,2033,100.0
aef,max,overall,0.5748223820380188,16640,100.0
aef,max,"tiny
(<50)",0.4389514020768577,2437,100.0
aef,max,"small
(50-150)",0.5148599711079772,6214,100.0
aef,max,"medium
(150-500)",0.6112601595274167,5956,100.0
aef,max,"large
(>500)",0.630635406691802,2033,100.0
aef,mean,overall,0.6462451049849123,16640,100.0
aef,mean,"tiny
(<50)",0.48136995542480954,2437,100.0
aef,mean,"small
(50-150)",0.5957232255512495,6214,100.0
aef,mean,"medium
(150-500)",0.6881104411955922,5956,100.0
aef,mean,"large
(>500)",0.6960956112160481,2033,100.0
aef,mean_max,overall,0.6485053210601072,16640,1.0
aef,mean_max,"tiny
(<50)",0.475990626352963,2437,1.0
aef,mean_max,"small
(50-150)",0.5939343659642842,6214,1.0
aef,mean_max,"medium
(150-500)",0.6842480337059804,5956,1.0
aef,mean_max,"large
(>500)",0.7163378384474199,2033,1.0
aef,mean_std,overall,0.6532868793743615,16640,100.0
aef,mean_std,"tiny
(<50)",0.4908185502770007,2437,100.0
aef,mean_std,"small
(50-150)",0.5991683900246172,6214,100.0
aef,mean_std,"medium
(150-500)",0.6923073886926718,5956,100.0
aef,mean_std,"large
(>500)",0.7128052586947848,2033,100.0
aef,median_iqr,overall,0.6421093422042551,16640,10.0
aef,median_iqr,"tiny
(<50)",0.466616781242186,2437,10.0
aef,median_iqr,"small
(50-150)",0.5846749323518293,6214,10.0
aef,median_iqr,"medium
(150-500)",0.6891500526130981,5956,10.0
aef,median_iqr,"large
(>500)",0.6889943223514419,2033,10.0
aef,nd_switch,overall,0.6470072672256577,16640,1.0
aef,nd_switch,"tiny
(<50)",0.418236404907176,2437,1.0
aef,nd_switch,"small
(50-150)",0.5891160265122724,6214,1.0
aef,nd_switch,"medium
(150-500)",0.6951957266232461,5956,1.0
