dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,sample_cov,linear,1,overall,0.5879568319277924,17229
aef,sample_cov,linear,1,tiny(<50),0.3307994437396668,2468
aef,sample_cov,linear,1,small(50-150),0.4950600245175471,6598
aef,sample_cov,linear,1,medium(150-500),0.6497998134667407,6256
aef,sample_cov,linear,1,large(>500),0.7029352030932512,1907
aef,sample_cov,knn,1,overall,0.4694822494240255,17229
aef,sample_cov,knn,1,tiny(<50),0.3019505662838921,2468
aef,sample_cov,knn,1,small(50-150),0.3917528425667355,6598
aef,sample_cov,knn,1,medium(150-500),0.5041011254395601,6256
aef,sample_cov,knn,1,large(>500),0.5815385257582563,1907
aef,sample_cov,linear,2,overall,0.5888990130040955,17559
aef,sample_cov,linear,2,tiny(<50),0.3424217449856467,2846
aef,sample_cov,linear,2,small(50-150),0.5145433701522749,6651
aef,sample_cov,linear,2,medium(150-500),0.6525901781567504,6126
aef,sample_cov,linear,2,large(>500),0.6857376333564524,1936
aef,sample_cov,knn,2,overall,0.4603551620314102,17559
aef,sample_cov,knn,2,tiny(<50),0.3040237129962868,2846
aef,sample_cov,knn,2,small(50-150),0.3889310631513141,6651
aef,sample_cov,knn,2,medium(150-500),0.5051532998751472,6126
aef,sample_cov,knn,2,large(>500),0.5654270304654067,1936
aef,sample_cov,linear,3,overall,0.5822941771879562,17045
aef,sample_cov,linear,3,tiny(<50),0.4476631671311883,2620
aef,sample_cov,linear,3,small(50-150),0.5111815922085634,6288
aef,sample_cov,linear,3,medium(150-500),0.6347141396570998,6205
aef,sample_cov,linear,3,large(>500),0.70373076982571,1932
aef,sample_cov,knn,3,overall,0.4684946065532944,17045
aef,sample_cov,knn,3,tiny(<50),0.3202265748006681,2620
aef,sample_cov,knn,3,small(50-150),0.3934246945000769,6288
aef,sample_cov,knn,3,medium(150-500),0.5075696269479575,6205
aef,sample_cov,knn,3,large(>500),0.5532807877698596,1932
aef,sample_cov,linear,4,overall,0.6090172736700503,17478
aef,sample_cov,linear,4,tiny(<50),0.3804478089118049,2498
aef,sample_cov,linear,4,small(50-150),0.5185397052316495,6773
aef,sample_cov,linear,4,medium(150-500),0.6778000284866645,6372
